ranking,instituto,n_pesquisas,mae,vies_medio,desvio_padrao_erro,erro_mediano,cluster,confiabilidade
1,IBPS,18,2.103333333333333,-1.9999999999999991,4.635233352841485,0.09,0,Alta confiabilidade
2,PoderData,47,2.107021276595745,-1.2095744680851066,2.944558693920474,0.53,0,Alta confiabilidade
3,AtlasIntel/Internet,145,2.184,-0.33062068965517266,4.594559769246677,0.4299999999999997,0,Alta confiabilidade
4,Ideia Big Data,62,2.768709677419355,-1.658709677419355,5.14597996334843,0.61,0,Alta confiabilidade
5,Brasmarket,53,3.1471698113207545,-2.25622641509434,6.018385046101235,0.29999999999999716,0,Alta confiabilidade
6,FSB,59,3.2462711864406786,-1.7066101694915257,5.019088944038615,0.8399999999999999,0,Alta confiabilidade
7,Quaest,153,3.6945751633986936,-2.7115686274509807,5.4093482822803445,1.04,0,Alta confiabilidade
8,Futura,129,3.7255813953488373,-1.726666666666667,5.3318895181101915,2.299999999999997,0,Alta confiabilidade
9,Souza Lopes,17,3.764705882352941,-2.302352941176471,7.843430793832954,0.51,0,Alta confiabilidade
10,Ipec,745,3.8120134228187923,-1.3051409395973157,7.248625658595059,0.53,0,Alta confiabilidade
11,Paraná Pesquisas,213,4.133708920187794,-2.6213145539906106,6.273787574340365,1.3999999999999986,0,Alta confiabilidade
12,Ipespe,102,4.186470588235294,-2.30921568627451,6.785800212743982,1.8999999999999986,0,Alta confiabilidade
13,MDA,81,4.392592592592592,-3.4266666666666667,5.8334143089617765,2.5599999999999996,0,Alta confiabilidade
14,Iveiga,20,4.464,-2.3870000000000005,7.1935988358071725,1.8150000000000048,0,Alta confiabilidade
15,Ranking,40,4.46575,-3.8667500000000006,7.110695586985089,0.995,2,Confiabilidade moderada
16,Veritá,82,4.723780487804878,-1.5620731707317073,7.677251266366471,1.3300000000000018,0,Alta confiabilidade
17,Perspectiva,22,5.366363636363636,-2.317272727272727,8.816429026494841,1.2899999999999991,2,Confiabilidade moderada
18,Flex Consult,17,5.401764705882353,-2.7570588235294116,7.645349701539069,1.7100000000000009,2,Confiabilidade moderada
19,Serpes,63,5.414603174603175,-2.552063492063492,7.948516428570716,2.990000000000002,2,Confiabilidade moderada
20,Sensus,148,5.660405405405405,-2.98027027027027,7.485651394314683,3.8400000000000003,2,Confiabilidade moderada
21,Opinião Brasil,38,5.773684210526315,-2.8721052631578945,9.217097555085958,0.42500000000000004,2,Confiabilidade moderada
22,Seta,41,5.7821951219512195,-2.9778048780487807,10.159623150539375,1.15,2,Confiabilidade moderada
23,Instituto Methodus,23,6.345217391304348,-1.1286956521739133,8.591364218238846,6.15,2,Confiabilidade moderada
24,Data AZ,27,6.484814814814814,-2.6159259259259255,10.083572420701541,2.0300000000000002,2,Confiabilidade moderada
25,Datafolha,1864,6.507038626609441,-0.7480042918454932,9.686868157178566,3.6099999999999994,2,Confiabilidade moderada
26,Vox Populi,202,6.958811881188119,-3.7142574257425736,8.950691387346104,5.07,2,Confiabilidade moderada
27,Ibope,1650,6.996181818181817,-3.0297090909090905,9.818706415323954,4.359999999999999,2,Confiabilidade moderada
28,Item,15,7.028,-3.436,9.525362235331825,5.45,2,Confiabilidade moderada
29,Gazeta Dados,15,7.229333333333333,-6.671999999999999,7.228729586073298,4.590000000000003,1,Baixa confiabilidade
30,Brand,18,8.41,-4.417777777777778,10.504331070650338,5.465,1,Baixa confiabilidade
31,Grupom,22,9.412727272727274,-5.449090909090909,10.82974779158948,10.740000000000006,1,Baixa confiabilidade
32,IPMN,25,13.302399999999999,-3.3448,17.770163223786096,8.68,1,Baixa confiabilidade
